CensusTract,State,County,Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,ZIP
48021950400,Texas,Bastrop County,1,0,0,0,0,78602
48021950501,Texas,Bastrop County,0,0,0,0,0,78602
48021950501,Texas,Bastrop County,0,0,0,0,0,78621
48021950501,Texas,Bastrop County,0,0,0,0,0,78650
48021950501,Texas,Bastrop County,0,0,0,0,0,78659
48021950502,Texas,Bastrop County,0,1,1,0,0,78602
48021950502,Texas,Bastrop County,0,1,1,0,0,78650
48021950502,Texas,Bastrop County,0,1,1,0,0,78659
48021950502,Texas,Bastrop County,0,1,1,0,0,78957
48021950600,Texas,Bastrop County,0,0,0,0,0,78602
48021950600,Texas,Bastrop County,0,0,0,0,0,78659
48021950600,Texas,Bastrop County,0,0,0,0,0,78662
48021950600,Texas,Bastrop County,0,0,0,0,0,78941
48021950600,Texas,Bastrop County,0,0,0,0,0,78942
48021950600,Texas,Bastrop County,0,0,0,0,0,78953
48021950600,Texas,Bastrop County,0,0,0,0,0,78957
48021950600,Texas,Bastrop County,0,0,0,0,0,78959
48021950700,Texas,Bastrop County,1,1,1,1,1,78602
48021950700,Texas,Bastrop County,1,1,1,1,1,78957
48021950801,Texas,Bastrop County,0,0,0,0,1,78602
48021950801,Texas,Bastrop County,0,0,0,0,1,78612
48021950801,Texas,Bastrop County,0,0,0,0,1,78616
48021950801,Texas,Bastrop County,0,0,0,0,1,78617
48021950801,Texas,Bastrop County,0,0,0,0,1,78662
48021950802,Texas,Bastrop County,0,0,0,0,0,78602
48021950802,Texas,Bastrop County,0,0,0,0,0,78612
48021950802,Texas,Bastrop County,0,0,0,0,0,78616
48021950802,Texas,Bastrop County,0,0,0,0,0,78617
48021950802,Texas,Bastrop County,0,0,0,0,0,78662
48021950802,Texas,Bastrop County,0,0,0,0,0,78953
48023950300,Texas,Baylor County,0,0,0,0,0,76380
48025950100,Texas,Bee County,0,0,0,0,0,78071
48025950100,Texas,Bee County,0,0,0,0,0,78102
48025950100,Texas,Bee County,0,0,0,0,0,78119
48025950100,Texas,Bee County,0,0,0,0,0,78125
48025950100,Texas,Bee County,0,0,0,0,0,78142
48025950100,Texas,Bee County,0,0,0,0,0,78145
48025950100,Texas,Bee County,0,0,0,0,0,78146
48025950100,Texas,Bee County,0,0,0,0,0,78162
48025950201,Texas,Bee County,1,0,0,0,0,78102
48025950201,Texas,Bee County,1,0,0,0,0,78389
48025950202,Texas,Bee County,0,0,0,0,0,78102
48025950202,Texas,Bee County,0,0,0,0,0,78368
48025950202,Texas,Bee County,0,0,0,0,0,78389
48025950300,Texas,Bee County,1,1,1,1,1,78102
48025950400,Texas,Bee County,1,0,1,0,0,78102
48025950400,Texas,Bee County,1,0,1,0,0,78104
48025950500,Texas,Bee County,1,1,1,1,1,78102
48025950600,Texas,Bee County,0,1,1,0,0,78102
48025950600,Texas,Bee County,0,1,1,0,0,78368
48025950600,Texas,Bee County,0,1,1,0,0,78387
48025950600,Texas,Bee County,0,1,1,0,0,78389
48025950600,Texas,Bee County,0,1,1,0,0,78391
48027020100,Texas,Bell County,0,0,0,0,0,76501
48027020100,Texas,Bell County,0,0,0,0,0,76504
48027020100,Texas,Bell County,0,0,0,0,0,76519
48027020100,Texas,Bell County,0,0,0,0,0,76557
48027020100,Texas,Bell County,0,0,0,0,0,76564
48027020100,Texas,Bell County,0,0,0,0,0,76569
48027020100,Texas,Bell County,0,0,0,0,0,76570
48027020100,Texas,Bell County,0,0,0,0,0,76579
48027020100,Texas,Bell County,0,0,0,0,0,76656
48027020201,Texas,Bell County,1,0,0,0,0,76502
48027020201,Texas,Bell County,1,0,0,0,0,76513
48027020202,Texas,Bell County,0,0,0,0,0,76502
48027020202,Texas,Bell County,0,0,0,0,0,76504
48027020202,Texas,Bell County,0,0,0,0,0,76513
48027020202,Texas,Bell County,0,0,0,0,0,76528
48027020202,Texas,Bell County,0,0,0,0,0,76557
48027020300,Texas,Bell County,1,0,0,0,0,76502
48027020300,Texas,Bell County,1,0,0,0,0,76504
48027020300,Texas,Bell County,1,0,0,0,0,76513
48027020401,Texas,Bell County,1,1,1,1,0,76501
48027020401,Texas,Bell County,1,1,1,1,0,76504
48027020401,Texas,Bell County,1,1,1,1,0,76579
48027020402,Texas,Bell County,0,0,0,0,0,76501
48027020402,Texas,Bell County,0,0,0,0,0,76579
48027020500,Texas,Bell County,1,1,1,1,0,76501
48027020600,Texas,Bell County,1,1,1,1,0,76501
48027020701,Texas,Bell County,1,0,0,0,0,76501
48027020701,Texas,Bell County,1,0,0,0,0,76503
48027020702,Texas,Bell County,1,0,1,0,0,76501
48027020702,Texas,Bell County,1,0,1,0,0,76504
48027020800,Texas,Bell County,1,1,1,1,1,76501
48027020900,Texas,Bell County,1,1,1,1,1,76501
48027020900,Texas,Bell County,1,1,1,1,1,76502
48027020900,Texas,Bell County,1,1,1,1,1,76504
48027021000,Texas,Bell County,1,1,1,1,1,76504
48027021000,Texas,Bell County,1,1,1,1,1,76508
48027021100,Texas,Bell County,1,0,1,0,1,76504
48027021201,Texas,Bell County,1,1,1,1,1,76502
48027021201,Texas,Bell County,1,1,1,1,1,76504
48027021202,Texas,Bell County,1,0,0,0,0,76504
48027021203,Texas,Bell County,1,0,0,0,0,76502
48027021301,Texas,Bell County,1,0,0,0,0,76502
48027021302,Texas,Bell County,1,0,0,0,0,76502
48027021303,Texas,Bell County,1,0,0,0,0,76502
48027021400,Texas,Bell County,0,0,0,0,0,76501
48027021400,Texas,Bell County,0,0,0,0,0,76502
48027021400,Texas,Bell County,0,0,0,0,0,76533
48027021400,Texas,Bell County,0,0,0,0,0,76554
48027021400,Texas,Bell County,0,0,0,0,0,76569
48027021500,Texas,Bell County,1,1,1,1,1,76513
48027021601,Texas,Bell County,1,1,1,1,1,76513
48027021602,Texas,Bell County,1,0,0,0,0,76513
48027021700,Texas,Bell County,1,0,0,0,0,76513
48027021800,Texas,Bell County,0,0,0,0,0,76513
48027021800,Texas,Bell County,0,0,0,0,0,76548
48027021800,Texas,Bell County,0,0,0,0,0,76559
48027021901,Texas,Bell County,1,0,0,0,0,76548
48027021903,Texas,Bell County,1,0,0,0,0,76548
48027021904,Texas,Bell County,1,0,0,0,0,76542
48027021904,Texas,Bell County,1,0,0,0,0,76548
48027022000,Texas,Bell County,0,0,0,0,1,76513
